"year","State","soil","pixels","Area_sqkm","SoilName"
1985,"1",3,10648,9.5832,"Loamy-Clayey"
1985,"1",4,25700,23.13,"Gravelly and Calcic"
1985,"1",5,9469,8.5221,"Bedrock and Colluvium"
1985,"1",6,1122,1.0098,"Gypsic"
1985,"1",7,2194,1.9746,"Bottomland"
1985,"1",8,57102,51.3918,"Sandy and Deep Sand"
1985,"2",3,124852,112.3668,"Loamy-Clayey"
1985,"2",4,757486,681.7374,"Gravelly and Calcic"
1985,"2",5,323889,291.5001,"Bedrock and Colluvium"
1985,"2",6,15419,13.8771,"Gypsic"
1985,"2",7,31836,28.6524,"Bottomland"
1985,"2",8,1751220,1576.098,"Sandy and Deep Sand"
1985,"3",3,15337,13.8033,"Loamy-Clayey"
1985,"3",4,335135,301.6215,"Gravelly and Calcic"
1985,"3",5,317993,286.1937,"Bedrock and Colluvium"
1985,"3",6,3654,3.2886,"Gypsic"
1985,"3",7,9875,8.8875,"Bottomland"
1985,"3",8,323526,291.1734,"Sandy and Deep Sand"
1986,"1",3,10326,9.2934,"Loamy-Clayey"
1986,"1",4,29658,26.6922,"Gravelly and Calcic"
1986,"1",5,10993,9.8937,"Bedrock and Colluvium"
1986,"1",6,1139,1.0251,"Gypsic"
1986,"1",7,2362,2.1258,"Bottomland"
1986,"1",8,58497,52.6473,"Sandy and Deep Sand"
1986,"2",3,128147,115.3323,"Loamy-Clayey"
1986,"2",4,789076,710.1684,"Gravelly and Calcic"
1986,"2",5,367621,330.8589,"Bedrock and Colluvium"
1986,"2",6,15724,14.1516,"Gypsic"
1986,"2",7,32689,29.4201,"Bottomland"
1986,"2",8,1753669,1578.3021,"Sandy and Deep Sand"
1986,"3",3,12364,11.1276,"Loamy-Clayey"
1986,"3",4,299587,269.6283,"Gravelly and Calcic"
1986,"3",5,272737,245.4633,"Bedrock and Colluvium"
1986,"3",6,3332,2.9988,"Gypsic"
1986,"3",7,8854,7.9686,"Bottomland"
1986,"3",8,319682,287.7138,"Sandy and Deep Sand"
1987,"1",3,6828,6.1452,"Loamy-Clayey"
1987,"1",4,25160,22.644,"Gravelly and Calcic"
1987,"1",5,9632,8.6688,"Bedrock and Colluvium"
1987,"1",6,772,0.6948,"Gypsic"
1987,"1",7,1614,1.4526,"Bottomland"
1987,"1",8,40824,36.7416,"Sandy and Deep Sand"
1987,"2",3,128732,115.8588,"Loamy-Clayey"
1987,"2",4,786525,707.8725,"Gravelly and Calcic"
1987,"2",5,368355,331.5195,"Bedrock and Colluvium"
1987,"2",6,15902,14.3118,"Gypsic"
1987,"2",7,32220,28.998,"Bottomland"
1987,"2",8,1774164,1596.7476,"Sandy and Deep Sand"
1987,"3",3,15277,13.7493,"Loamy-Clayey"
1987,"3",4,306636,275.9724,"Gravelly and Calcic"
1987,"3",5,273364,246.0276,"Bedrock and Colluvium"
1987,"3",6,3521,3.1689,"Gypsic"
1987,"3",7,10071,9.0639,"Bottomland"
1987,"3",8,316860,285.174,"Sandy and Deep Sand"
1988,"1",3,5511,4.9599,"Loamy-Clayey"
1988,"1",4,21557,19.4013,"Gravelly and Calcic"
1988,"1",5,8229,7.4061,"Bedrock and Colluvium"
1988,"1",6,497,0.4473,"Gypsic"
1988,"1",7,887,0.7983,"Bottomland"
1988,"1",8,27333,24.5997,"Sandy and Deep Sand"
1988,"2",3,133037,119.7333,"Loamy-Clayey"
1988,"2",4,799166,719.2494,"Gravelly and Calcic"
1988,"2",5,378227,340.4043,"Bedrock and Colluvium"
1988,"2",6,16454,14.8086,"Gypsic"
1988,"2",7,34238,30.8142,"Bottomland"
1988,"2",8,1825125,1642.6125,"Sandy and Deep Sand"
1988,"3",3,12289,11.0601,"Loamy-Clayey"
1988,"3",4,297598,267.8382,"Gravelly and Calcic"
1988,"3",5,264895,238.4055,"Bedrock and Colluvium"
1988,"3",6,3244,2.9196,"Gypsic"
1988,"3",7,8780,7.902,"Bottomland"
1988,"3",8,279390,251.451,"Sandy and Deep Sand"
1989,"1",3,7566,6.8094,"Loamy-Clayey"
1989,"1",4,22936,20.6424,"Gravelly and Calcic"
1989,"1",5,9010,8.109,"Bedrock and Colluvium"
1989,"1",6,566,0.5094,"Gypsic"
1989,"1",7,1090,0.981,"Bottomland"
1989,"1",8,30781,27.7029,"Sandy and Deep Sand"
1989,"2",3,133504,120.1536,"Loamy-Clayey"
1989,"2",4,823875,741.4875,"Gravelly and Calcic"
1989,"2",5,384237,345.8133,"Bedrock and Colluvium"
1989,"2",6,16734,15.0606,"Gypsic"
1989,"2",7,35466,31.9194,"Bottomland"
1989,"2",8,1842428,1658.1852,"Sandy and Deep Sand"
1989,"3",3,9767,8.7903,"Loamy-Clayey"
1989,"3",4,271510,244.359,"Gravelly and Calcic"
1989,"3",5,258104,232.2936,"Bedrock and Colluvium"
1989,"3",6,2895,2.6055,"Gypsic"
1989,"3",7,7349,6.6141,"Bottomland"
1989,"3",8,258639,232.7751,"Sandy and Deep Sand"
1990,"1",3,8268,7.4412,"Loamy-Clayey"
1990,"1",4,26185,23.5665,"Gravelly and Calcic"
1990,"1",5,9522,8.5698,"Bedrock and Colluvium"
1990,"1",6,732,0.6588,"Gypsic"
1990,"1",7,1553,1.3977,"Bottomland"
1990,"1",8,38573,34.7157,"Sandy and Deep Sand"
1990,"2",3,133362,120.0258,"Loamy-Clayey"
1990,"2",4,822958,740.6622,"Gravelly and Calcic"
1990,"2",5,383698,345.3282,"Bedrock and Colluvium"
1990,"2",6,16644,14.9796,"Gypsic"
1990,"2",7,35173,31.6557,"Bottomland"
1990,"2",8,1833066,1649.7594,"Sandy and Deep Sand"
1990,"3",3,9207,8.2863,"Loamy-Clayey"
1990,"3",4,269178,242.2602,"Gravelly and Calcic"
1990,"3",5,258131,232.3179,"Bedrock and Colluvium"
1990,"3",6,2819,2.5371,"Gypsic"
1990,"3",7,7179,6.4611,"Bottomland"
1990,"3",8,260209,234.1881,"Sandy and Deep Sand"
1991,"1",3,7209,6.4881,"Loamy-Clayey"
1991,"1",4,24309,21.8781,"Gravelly and Calcic"
1991,"1",5,8762,7.8858,"Bedrock and Colluvium"
1991,"1",6,709,0.6381,"Gypsic"
1991,"1",7,1496,1.3464,"Bottomland"
1991,"1",8,40064,36.0576,"Sandy and Deep Sand"
1991,"2",3,132796,119.5164,"Loamy-Clayey"
1991,"2",4,805507,724.9563,"Gravelly and Calcic"
1991,"2",5,376875,339.1875,"Bedrock and Colluvium"
1991,"2",6,16383,14.7447,"Gypsic"
1991,"2",7,34179,30.7611,"Bottomland"
1991,"2",8,1794071,1614.6639,"Sandy and Deep Sand"
1991,"3",3,10832,9.7488,"Loamy-Clayey"
1991,"3",4,288505,259.6545,"Gravelly and Calcic"
1991,"3",5,265714,239.1426,"Bedrock and Colluvium"
1991,"3",6,3103,2.7927,"Gypsic"
1991,"3",7,8230,7.407,"Bottomland"
1991,"3",8,297713,267.9417,"Sandy and Deep Sand"
1992,"1",3,7853,7.0677,"Loamy-Clayey"
1992,"1",4,20051,18.0459,"Gravelly and Calcic"
1992,"1",5,8712,7.8408,"Bedrock and Colluvium"
1992,"1",6,687,0.6183,"Gypsic"
1992,"1",7,1373,1.2357,"Bottomland"
1992,"1",8,38242,34.4178,"Sandy and Deep Sand"
1992,"2",3,128880,115.992,"Loamy-Clayey"
1992,"2",4,772193,694.9737,"Gravelly and Calcic"
1992,"2",5,355234,319.7106,"Bedrock and Colluvium"
1992,"2",6,15673,14.1057,"Gypsic"
1992,"2",7,32281,29.0529,"Bottomland"
1992,"2",8,1751008,1575.9072,"Sandy and Deep Sand"
1992,"3",3,14104,12.6936,"Loamy-Clayey"
1992,"3",4,326077,293.4693,"Gravelly and Calcic"
1992,"3",5,287405,258.6645,"Bedrock and Colluvium"
1992,"3",6,3835,3.4515,"Gypsic"
1992,"3",7,10251,9.2259,"Bottomland"
1992,"3",8,342598,308.3382,"Sandy and Deep Sand"
1993,"1",3,8507,7.6563,"Loamy-Clayey"
1993,"1",4,24733,22.2597,"Gravelly and Calcic"
1993,"1",5,10085,9.0765,"Bedrock and Colluvium"
1993,"1",6,786,0.7074,"Gypsic"
1993,"1",7,1693,1.5237,"Bottomland"
1993,"1",8,42709,38.4381,"Sandy and Deep Sand"
1993,"2",3,131788,118.6092,"Loamy-Clayey"
1993,"2",4,782753,704.4777,"Gravelly and Calcic"
1993,"2",5,358631,322.7679,"Bedrock and Colluvium"
1993,"2",6,15867,14.2803,"Gypsic"
1993,"2",7,33160,29.844,"Bottomland"
1993,"2",8,1748946,1574.0514,"Sandy and Deep Sand"
1993,"3",3,10542,9.4878,"Loamy-Clayey"
1993,"3",4,310835,279.7515,"Gravelly and Calcic"
1993,"3",5,282635,254.3715,"Bedrock and Colluvium"
1993,"3",6,3542,3.1878,"Gypsic"
1993,"3",7,9052,8.1468,"Bottomland"
1993,"3",8,340193,306.1737,"Sandy and Deep Sand"
1994,"1",3,11603,10.4427,"Loamy-Clayey"
1994,"1",4,28889,26.0001,"Gravelly and Calcic"
1994,"1",5,10985,9.8865,"Bedrock and Colluvium"
1994,"1",6,1063,0.9567,"Gypsic"
1994,"1",7,2227,2.0043,"Bottomland"
1994,"1",8,58315,52.4835,"Sandy and Deep Sand"
1994,"2",3,130666,117.5994,"Loamy-Clayey"
1994,"2",4,817794,736.0146,"Gravelly and Calcic"
1994,"2",5,381067,342.9603,"Bedrock and Colluvium"
1994,"2",6,16074,14.4666,"Gypsic"
1994,"2",7,34498,31.0482,"Bottomland"
1994,"2",8,1760261,1584.2349,"Sandy and Deep Sand"
1994,"3",3,8568,7.7112,"Loamy-Clayey"
1994,"3",4,271638,244.4742,"Gravelly and Calcic"
1994,"3",5,259299,233.3691,"Bedrock and Colluvium"
1994,"3",6,3058,2.7522,"Gypsic"
1994,"3",7,7180,6.462,"Bottomland"
1994,"3",8,313272,281.9448,"Sandy and Deep Sand"
1995,"1",3,12458,11.2122,"Loamy-Clayey"
1995,"1",4,27549,24.7941,"Gravelly and Calcic"
1995,"1",5,10580,9.522,"Bedrock and Colluvium"
1995,"1",6,1100,0.99,"Gypsic"
1995,"1",7,2175,1.9575,"Bottomland"
1995,"1",8,61518,55.3662,"Sandy and Deep Sand"
1995,"2",3,129606,116.6454,"Loamy-Clayey"
1995,"2",4,797467,717.7203,"Gravelly and Calcic"
1995,"2",5,357367,321.6303,"Bedrock and Colluvium"
1995,"2",6,15954,14.3586,"Gypsic"
1995,"2",7,34335,30.9015,"Bottomland"
1995,"2",8,1738234,1564.4106,"Sandy and Deep Sand"
1995,"3",3,8773,7.8957,"Loamy-Clayey"
1995,"3",4,293305,263.9745,"Gravelly and Calcic"
1995,"3",5,283404,255.0636,"Bedrock and Colluvium"
1995,"3",6,3141,2.8269,"Gypsic"
1995,"3",7,7395,6.6555,"Bottomland"
1995,"3",8,332096,298.8864,"Sandy and Deep Sand"
1996,"1",3,12866,11.5794,"Loamy-Clayey"
1996,"1",4,30371,27.3339,"Gravelly and Calcic"
1996,"1",5,10437,9.3933,"Bedrock and Colluvium"
1996,"1",6,1243,1.1187,"Gypsic"
1996,"1",7,2548,2.2932,"Bottomland"
1996,"1",8,64835,58.3515,"Sandy and Deep Sand"
1996,"2",3,127986,115.1874,"Loamy-Clayey"
1996,"2",4,805950,725.355,"Gravelly and Calcic"
1996,"2",5,376865,339.1785,"Bedrock and Colluvium"
1996,"2",6,15780,14.202,"Gypsic"
1996,"2",7,33825,30.4425,"Bottomland"
1996,"2",8,1724222,1551.7998,"Sandy and Deep Sand"
1996,"3",3,9985,8.9865,"Loamy-Clayey"
1996,"3",4,282000,253.8,"Gravelly and Calcic"
1996,"3",5,264049,237.6441,"Bedrock and Colluvium"
1996,"3",6,3172,2.8548,"Gypsic"
1996,"3",7,7532,6.7788,"Bottomland"
1996,"3",8,342791,308.5119,"Sandy and Deep Sand"
1997,"1",3,12429,11.1861,"Loamy-Clayey"
1997,"1",4,31518,28.3662,"Gravelly and Calcic"
1997,"1",5,10771,9.6939,"Bedrock and Colluvium"
1997,"1",6,1231,1.1079,"Gypsic"
1997,"1",7,2521,2.2689,"Bottomland"
1997,"1",8,63370,57.033,"Sandy and Deep Sand"
1997,"2",3,128352,115.5168,"Loamy-Clayey"
1997,"2",4,804083,723.6747,"Gravelly and Calcic"
1997,"2",5,372118,334.9062,"Bedrock and Colluvium"
1997,"2",6,15854,14.2686,"Gypsic"
1997,"2",7,33365,30.0285,"Bottomland"
1997,"2",8,1755626,1580.0634,"Sandy and Deep Sand"
1997,"3",3,10056,9.0504,"Loamy-Clayey"
1997,"3",4,282720,254.448,"Gravelly and Calcic"
1997,"3",5,268462,241.6158,"Bedrock and Colluvium"
1997,"3",6,3110,2.799,"Gypsic"
1997,"3",7,8019,7.2171,"Bottomland"
1997,"3",8,312852,281.5668,"Sandy and Deep Sand"
1998,"1",3,13294,11.9646,"Loamy-Clayey"
1998,"1",4,32276,29.0484,"Gravelly and Calcic"
1998,"1",5,10929,9.8361,"Bedrock and Colluvium"
1998,"1",6,1344,1.2096,"Gypsic"
1998,"1",7,2945,2.6505,"Bottomland"
1998,"1",8,70637,63.5733,"Sandy and Deep Sand"
1998,"2",3,127773,114.9957,"Loamy-Clayey"
1998,"2",4,831397,748.2573,"Gravelly and Calcic"
1998,"2",5,377958,340.1622,"Bedrock and Colluvium"
1998,"2",6,16009,14.4081,"Gypsic"
1998,"2",7,33540,30.186,"Bottomland"
1998,"2",8,1756589,1580.9301,"Sandy and Deep Sand"
1998,"3",3,9770,8.793,"Loamy-Clayey"
1998,"3",4,254648,229.1832,"Gravelly and Calcic"
1998,"3",5,262464,236.2176,"Bedrock and Colluvium"
1998,"3",6,2842,2.5578,"Gypsic"
1998,"3",7,7420,6.678,"Bottomland"
1998,"3",8,304622,274.1598,"Sandy and Deep Sand"
1999,"1",3,13345,12.0105,"Loamy-Clayey"
1999,"1",4,35497,31.9473,"Gravelly and Calcic"
1999,"1",5,12412,11.1708,"Bedrock and Colluvium"
1999,"1",6,1378,1.2402,"Gypsic"
1999,"1",7,2812,2.5308,"Bottomland"
1999,"1",8,72380,65.142,"Sandy and Deep Sand"
1999,"2",3,127215,114.4935,"Loamy-Clayey"
1999,"2",4,807582,726.8238,"Gravelly and Calcic"
1999,"2",5,383596,345.2364,"Bedrock and Colluvium"
1999,"2",6,15705,14.1345,"Gypsic"
1999,"2",7,33516,30.1644,"Bottomland"
1999,"2",8,1728535,1555.6815,"Sandy and Deep Sand"
1999,"3",3,10277,9.2493,"Loamy-Clayey"
1999,"3",4,275242,247.7178,"Gravelly and Calcic"
1999,"3",5,255343,229.8087,"Bedrock and Colluvium"
1999,"3",6,3112,2.8008,"Gypsic"
1999,"3",7,7577,6.8193,"Bottomland"
1999,"3",8,330933,297.8397,"Sandy and Deep Sand"
2000,"1",3,11647,10.4823,"Loamy-Clayey"
2000,"1",4,32694,29.4246,"Gravelly and Calcic"
2000,"1",5,10424,9.3816,"Bedrock and Colluvium"
2000,"1",6,1183,1.0647,"Gypsic"
2000,"1",7,2413,2.1717,"Bottomland"
2000,"1",8,65148,58.6332,"Sandy and Deep Sand"
2000,"2",3,128416,115.5744,"Loamy-Clayey"
2000,"2",4,806189,725.5701,"Gravelly and Calcic"
2000,"2",5,384506,346.0554,"Bedrock and Colluvium"
2000,"2",6,15827,14.2443,"Gypsic"
2000,"2",7,33719,30.3471,"Bottomland"
2000,"2",8,1729085,1556.1765,"Sandy and Deep Sand"
2000,"3",3,10774,9.6966,"Loamy-Clayey"
2000,"3",4,279438,251.4942,"Gravelly and Calcic"
2000,"3",5,256421,230.7789,"Bedrock and Colluvium"
2000,"3",6,3185,2.8665,"Gypsic"
2000,"3",7,7773,6.9957,"Bottomland"
2000,"3",8,337615,303.8535,"Sandy and Deep Sand"
2001,"1",3,11674,10.5066,"Loamy-Clayey"
2001,"1",4,32494,29.2446,"Gravelly and Calcic"
2001,"1",5,10598,9.5382,"Bedrock and Colluvium"
2001,"1",6,1170,1.053,"Gypsic"
2001,"1",7,2179,1.9611,"Bottomland"
2001,"1",8,60973,54.8757,"Sandy and Deep Sand"
2001,"2",3,129301,116.3709,"Loamy-Clayey"
2001,"2",4,810632,729.5688,"Gravelly and Calcic"
2001,"2",5,388942,350.0478,"Bedrock and Colluvium"
2001,"2",6,15883,14.2947,"Gypsic"
2001,"2",7,33943,30.5487,"Bottomland"
2001,"2",8,1738986,1565.0874,"Sandy and Deep Sand"
2001,"3",3,9862,8.8758,"Loamy-Clayey"
2001,"3",4,275195,247.6755,"Gravelly and Calcic"
2001,"3",5,251811,226.6299,"Bedrock and Colluvium"
2001,"3",6,3142,2.8278,"Gypsic"
2001,"3",7,7783,7.0047,"Bottomland"
2001,"3",8,331889,298.7001,"Sandy and Deep Sand"
2002,"1",3,14479,13.0311,"Loamy-Clayey"
2002,"1",4,35477,31.9293,"Gravelly and Calcic"
2002,"1",5,11372,10.2348,"Bedrock and Colluvium"
2002,"1",6,1375,1.2375,"Gypsic"
2002,"1",7,2833,2.5497,"Bottomland"
2002,"1",8,70359,63.3231,"Sandy and Deep Sand"
2002,"2",3,127229,114.5061,"Loamy-Clayey"
2002,"2",4,812316,731.0844,"Gravelly and Calcic"
